,bodyPart,equipment,gifUrl,id,name,target
256,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1775.gif,1775,side plank hip adduction,adductors
257,neck,body weight,http://d205bpvrqc9yn1.cloudfront.net/0716.gif,0716,side push neck stretch,levator scapulae
258,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0717.gif,0717,side push-up,triceps
259,lower arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/0721.gif,0721,side wrist pull stretch,forearms
260,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0720.gif,0720,side-to-side chin,lats
261,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3213.gif,3213,side-to-side toe touch (male),abs
262,chest,body weight,http://d205bpvrqc9yn1.cloudfront.net/0725.gif,0725,single arm push-up,pectorals
263,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/3645.gif,3645,single leg bridge with outstretched leg,glutes
264,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0730.gif,0730,single leg platform slide,hamstrings
265,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1759.gif,1759,single leg squat (pistol) male,glutes
266,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1489.gif,1489,sissy squat,quads
267,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/0735.gif,0735,sit-up v. 2,abs
268,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3679.gif,3679,sit-up with arms on chest,abs
269,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3361.gif,3361,skater hops,cardiovascular system
270,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3671.gif,3671,ski step,cardiovascular system
271,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3304.gif,3304,skin the cat,upper back
272,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1362.gif,1362,sphinx,spine
273,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0778.gif,0778,spider crawl push up,glutes
274,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1363.gif,1363,spine stretch,spine
275,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/2329.gif,2329,spine twist,abs
276,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/2368.gif,2368,split squats,quads
277,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1685.gif,1685,squat to overhead reach,quads
278,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1686.gif,1686,squat to overhead reach with twist,quads
279,upper arms,body weight,http://d205bpvrqc9yn1.cloudfront.net/3291.gif,3291,stalder press,triceps
280,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/3669.gif,3669,standing archer,upper back
281,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1490.gif,1490,standing calf raise (on a staircase),calves
282,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1397.gif,1397,standing calves,calves
283,lower legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/1398.gif,1398,standing calves calf stretch,calves
284,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/0794.gif,0794,standing lateral stretch,lats
285,back,body weight,http://d205bpvrqc9yn1.cloudfront.net/1364.gif,1364,standing pelvic tilt,spine
286,upper legs,body weight,http://d205bpvrqc9yn1.cloudfront.net/0795.gif,0795,standing single leg curl,hamstrings
287,cardio,body weight,http://d205bpvrqc9yn1.cloudfront.net/3223.gif,3223,star jump (male),cardiovascular system
288,waist,body weight,http://d205bpvrqc9yn1.cloudfront.net/3314.gif,3314,straddle maltese,abs
